QB_diff,OL_adv_1,OL_adv_2,WR_adv_1,WR_adv_2,RB_adv_1,RB_adv_2,TE_diff,PK_diff,P_diff,QB1_vs_DB_2,QB2_vs_DB_1,PASS_SYNERGY_diff,team_1_is_home,season,team_1,team_2,target
-3.0,-3.0,3.0,-3.0,3.5,-3.3333333333333335,2.0,-1.0,0.0,0.0,-3.0,3.0,-2.710526315789474,0,2021,Northwestern State,North Texas,0
0.0,-0.2999999999999998,-0.40000000000000036,-0.5,0.5,0.0,0.33333333333333304,-1.0,0.0,3.0,0.5,0.5,-0.47368421052631593,1,2021,Clemson,Georgia,0
0.0,-0.40000000000000036,-0.2999999999999998,0.5,-0.5,0.33333333333333304,0.0,1.0,0.0,-3.0,0.5,0.5,0.47368421052631593,0,2021,Georgia,Clemson,1
3.0,1.8,-2.5,2.25,-3.0,3.0,-3.0,3.0,3.0,0.0,1.75,-3.0,3.1315789473684212,1,2021,Virginia,William & Mary,1
-3.0,-2.5,1.8,-3.0,2.25,-3.0,3.0,-3.0,-3.0,0.0,-3.0,1.75,-3.1315789473684212,0,2021,William & Mary,Virginia,0
4.0,0.75,-1.0499999999999998,1.5,-0.75,2.0,-1.0,1.0,0.0,3.0,1.0,-4.25,2.5789473684210527,1,2021,Florida,Florida Atlantic,1
-4.0,-1.0499999999999998,0.75,-0.75,1.5,-1.0,2.0,-1.0,0.0,-3.0,-4.25,1.0,-2.5789473684210527,0,2021,Florida Atlantic,Florida,0
4.0,2.1,-3.5,2.75,-3.75,5.0,-3.6666666666666665,3.0,0.0,3.0,2.75,-3.75,3.7894736842105265,1,2021,TCU,Duquesne,1
-4.0,-3.5,2.1,-3.75,2.75,-3.6666666666666665,5.0,-3.0,0.0,-3.0,-3.75,2.75,-3.7894736842105265,0,2021,Duquesne,TCU,0
5.0,4.0,-4.0,4.0,-4.0,4.0,-1.6666666666666665,5.0,3.0,0.0,5.0,-4.0,4.736842105263158,1,2021,Washington,Montana,0
-5.0,-4.0,4.0,-4.0,4.0,-1.6666666666666665,4.0,-5.0,-3.0,0.0,-4.0,5.0,-4.736842105263158,0,2021,Montana,Washington,1
