year,team,conference,group,avg_stars,num_commits,avg_rating,gini,rank,points,period
2010,Clemson,ACC,Power 4,3.210526315789474,19,0.8605947368421052,0.03135112027732692,27.0,218.08,pre_nil
2010,Colorado,Big 12,Power 4,2.9411764705882355,17,0.8390294117647059,0.02470311893833493,57.0,183.91,pre_nil
2010,Colorado State,Mountain West,G5 / Ind.,2.888888888888889,27,0.8252407407407408,0.017451448050290728,70.0,172.59,pre_nil
2010,Duke,ACC,Power 4,2.7058823529411766,17,0.8171588235294118,0.02441830449511366,73.0,171.81,pre_nil
2010,East Carolina,Conference USA,G5 / Ind.,2.857142857142857,14,0.8224,0.018337320113721692,83.0,152.95,pre_nil
2010,Eastern Michigan,Mid-American,G5 / Ind.,2.3125,16,0.78910625,0.017536156188901572,111.0,110.9,pre_nil
2010,Florida,SEC,Power 4,4.0,27,0.9452629629629631,0.025428651471738485,1.0,324.62,pre_nil
2010,Florida Atlantic,Sun Belt,G5 / Ind.,2.2222222222222223,9,0.7828666666666667,0.015590059757776114,118.0,66.11,pre_nil
2010,Florida International,Sun Belt,G5 / Ind.,2.7777777777777777,18,0.8231944444444445,0.025030837856513822,82.0,153.54,pre_nil
2010,Florida State,ACC,Power 4,3.7222222222222223,18,0.9136111111111112,0.02975710247487242,8.0,271.41,pre_nil
2010,Fresno State,Western Athletic,G5 / Ind.,3.0,16,0.8372875000000001,0.018462706734989953,69.0,175.17,pre_nil
2010,Georgia,SEC,Power 4,3.6,15,0.90418,0.03342402287054911,11.0,259.87,pre_nil
2010,Georgia Tech,ACC,Power 4,3.357142857142857,14,0.8683500000000001,0.0233265526707346,43.0,201.21,pre_nil
2010,Hawai'i,Western Athletic,G5 / Ind.,2.68,25,0.8086240000000001,0.020301549047498594,80.0,155.71,pre_nil
2010,Houston,Conference USA,G5 / Ind.,3.0,21,0.8425285714285715,0.011838889972955523,55.0,185.42,pre_nil
2010,Idaho,Western Athletic,G5 / Ind.,2.3125,16,0.79488125,0.021276271345232113,97.0,140.01,pre_nil
2010,Illinois,Big Ten,Power 4,2.789473684210526,19,0.8273263157894737,0.02373296054414183,61.0,180.07,pre_nil
2010,Indiana,Big Ten,Power 4,2.9130434782608696,23,0.8315478260869564,0.014510939863067994,77.0,164.39,pre_nil
2010,Iowa,Big Ten,Power 4,3.125,16,0.8589,0.03311193784943604,36.0,208.14,pre_nil
2010,Iowa State,Big 12,Power 4,2.7,20,0.8209,0.02389328756373143,68.0,175.2,pre_nil
2010,Kansas,Big 12,Power 4,2.8333333333333335,12,0.8296166666666668,0.028885495630552992,64.0,177.9,pre_nil
2010,Kansas State,Big 12,Power 4,2.6363636363636362,11,0.798390909090909,0.04618380093139408,76.0,164.45,pre_nil
2010,Kent State,Mid-American,G5 / Ind.,2.6666666666666665,21,0.8094142857142858,0.01646329160891201,101.0,138.28,pre_nil
2010,Kentucky,SEC,Power 4,3.0,19,0.8434894736842105,0.021460776225811037,49.0,190.83,pre_nil
2010,LSU,SEC,Power 4,3.736842105263158,19,0.9161052631578946,0.02114818218658739,9.0,267.84,pre_nil
2010,Louisiana,Sun Belt,G5 / Ind.,2.1052631578947367,19,0.7603894736842105,0.020092487693892533,115.0,86.44,pre_nil
2010,Louisiana Tech,Western Athletic,G5 / Ind.,2.8461538461538463,13,0.8241076923076923,0.017156084694840933,81.0,154.22,pre_nil
2010,Louisville,Big East,G5 / Ind.,3.0555555555555554,18,0.8401111111111111,0.03138253280107202,44.0,197.18,pre_nil
2010,Marshall,Conference USA,G5 / Ind.,2.6956521739130435,23,0.8054478260869565,0.026768092844114674,78.0,164.29,pre_nil
2010,Maryland,ACC,Power 4,3.111111111111111,18,0.8613611111111111,0.02148587661068203,39.0,205.67,pre_nil
2010,Memphis,Conference USA,G5 / Ind.,2.6,20,0.81667,0.02828498624554608,71.0,172.54,pre_nil
2010,Miami,ACC,Power 4,3.380952380952381,21,0.886795238095238,0.03095863257379546,14.0,249.55,pre_nil
2010,Miami (OH),Mid-American,G5 / Ind.,2.5652173913043477,23,0.8014217391304348,0.022395926052791216,100.0,138.32,pre_nil
2010,Michigan,Big Ten,Power 4,3.380952380952381,21,0.8856571428571429,0.022752619727798455,17.0,237.54,pre_nil
2010,Michigan State,Big Ten,Power 4,3.3157894736842106,19,0.870778947368421,0.029654093551889527,22.0,225.56,pre_nil
2010,Middle Tennessee,Sun Belt,G5 / Ind.,2.0,15,0.75902,0.012161881096008373,114.0,88.46,pre_nil
2010,Minnesota,Big Ten,Power 4,2.875,16,0.84174375,0.02324740652072076,52.0,186.47,pre_nil
2010,Mississippi State,SEC,Power 4,3.2222222222222223,18,0.856338888888889,0.029536088185864,30.0,212.47,pre_nil
2010,Missouri,Big 12,Power 4,3.473684210526316,19,0.8888052631578948,0.014815867378739377,21.0,229.0,pre_nil
2010,NC State,ACC,Power 4,3.125,16,0.85323125,0.03764961462499626,35.0,208.25,pre_nil
2010,Navy,FBS Independents,G5 / Ind.,2.5,4,0.799725,0.006853918448792783,119.0,38.65,pre_nil
2010,Nebraska,Big 12,Power 4,3.1333333333333333,15,0.8752,0.02809059484458748,26.0,219.7,pre_nil
2010,Nevada,Western Athletic,G5 / Ind.,2.4705882352941178,17,0.7989470588235295,0.022172781632228997,91.0,144.64,pre_nil
2010,New Mexico,Mountain West,G5 / Ind.,2.7777777777777777,18,0.8219666666666667,0.025037060763930807,79.0,157.08,pre_nil
2010,New Mexico State,Western Athletic,G5 / Ind.,2.3,10,0.7920200000000001,0.020024746596995678,104.0,132.06,pre_nil
