team,conference,mascot,latitude,longitude,venue_name
Florida State,ACC,Seminoles,30.4381692,-84.3044032,Doak Campbell Stadium
Fordham,Patriot,Rams,40.8466508,-73.8785937,Jack Coffey Field
Fort Hays State,Mid America,Tigers,38.8791783,-99.3267702,Lewis Field Stadium
Fort Lewis,Rocky Mountain,Skyhawks,37.2395367,-107.82158179169292,Ray Dennison Memorial Field
Fort Valley State,SIAC,Wildcats,32.5537585,-83.8874084,Wildcat Stadium (GA)
Framingham State,MSCAC,Rams,42.3095704,-71.4413097,Bowditch Field
Franklin,Heartland,Grizzlies,33.704156,-117.75109,"Stewart """"Red"""" Faught Stadium"
Franklin & Marshall,Centennial,Diplomats,40.03813,-76.3056686,Shadek Stadium
Franklin Pierce,Northeast 10,Ravens,42.7517669,-72.01012902437412,Sodexo Field
Fresno State,Pac-12,Bulldogs,36.8143527,-119.7580092,Valley Children's Stadium
Frostburg State,Mountain East,Bobcats,39.6581425,-78.928357,Bobcat Stadium (MD)
Furman,Southern,Paladins,34.920192,-82.4370917,Paladin Stadium
Gallaudet,Old Dominion,Bison,38.8950368,-77.0365427,Hotchkiss Field
Gannon,Pennsylvania State Athletic,Golden Knights,42.1294712,-80.0852695,McConnell Family Stadium
Gardner-Webb,Big South-OVC,Runnin' Bulldogs,35.2457593,-81.6739887,Ernest W. Spangler Stadium
Geneva,Presidents',Golden Tornadoes,40.7520097,-80.3192295,Reeves Field (PA)
Georgetown,Patriot,Hoyas,38.9080248,-77.0753144,Cooper Field
Georgia,SEC,Bulldogs,33.9498197,-83.3733813,Sanford Stadium
Georgia Southern,Sun Belt,Eagles,32.4122471,-81.7849296,Allen E. Paulson Stadium
Georgia State,Sun Belt,Panthers,33.735267,-84.389949,Center Parc Stadium
Georgia Tech,ACC,Yellow Jackets,33.7724449,-84.3928054,Bobby Dodd Stadium
Gettysburg,Centennial,Bullets,39.8308973,-77.231012,Shirk Field at Musselman Stadium
Glenville State,Mountain East,Pioneers,38.9342573,-80.8376033,I.L. & Sue Morris Stadium
