year,team,rec_qb,rec_rb,rec_wr,rec_ol,rec_dl,rec_lb,rec_db
2018,Iowa,0.8858000040054321,0.8595499992370605,0.8108250051736832,0.8429999947547913,0.881166676680247,0.8334999978542328,0.8483333388964335
2018,Iowa State,0.8553999960422516,,0.8768333395322164,0.8502999941507975,0.8532333374023438,0.8344666560490926,0.8479333321253458
2018,Jackson State,,,0.7997999787330627,,,,
2018,Jacksonville,,,0.7889000177383423,,,,
2018,Jacksonville State,,,0.7797666788101196,0.7897999882698059,0.8165000081062317,,0.7812666694323221
2018,James Madison,,0.7897999882698059,0.7914000153541565,,,,
2018,Kansas,0.8306000232696533,0.9054999947547913,,0.8334000110626221,0.8729000091552734,0.8162999749183655,0.8628000020980835
2018,Kansas State,0.8261500000953674,0.7797999978065491,0.8403666615486145,0.8369666735331217,0.8384249955415726,,0.8463750183582306
2018,Kennesaw State,,,0.7497000098228455,0.7580000162124634,0.7647500038146973,,0.7953000068664551
2018,Kent State,0.8098000288009644,0.7698000073432922,0.7937800049781799,0.7897999882698059,0.8000333309173584,0.7977666656176249,0.803166667620341
2018,Kentucky,0.8065000176429749,0.8468000292778015,0.8477000097433726,0.8592666685581207,0.8571999967098236,0.896399974822998,0.8721333543459574
2018,LSU,0.7897999882698059,0.8924000263214111,0.9202799797058105,0.8847500085830688,0.8979333341121674,0.8983500003814697,0.9783999919891357
2018,Lafayette,0.7953000068664551,,,,,,0.8064000010490417
2018,Lamar,0.7641000151634216,0.7641000151634216,,,0.766700029373169,,0.753000020980835
2018,Lehigh,,0.7698000073432922,,,0.7497000098228455,,
2018,Liberty,0.7842000126838684,0.8198999762535095,,0.7940000096956888,0.7901000082492828,,0.781000018119812
2018,Louisiana,,0.8198000192642212,0.774150013923645,0.7762800097465515,0.8558499813079834,0.7840000092983246,0.7920500040054321
2018,Louisiana Tech,0.8334000110626221,0.8003666798273722,,0.789775013923645,0.809249997138977,,0.8468199968338013
2018,Louisville,0.7884666919708252,0.8448500037193298,0.8116333285967509,0.8446000218391418,0.8616499900817871,0.8855499923229218,0.9017999966939291
2018,Marshall,,0.8375333348910013,0.8194000039781842,0.7882500141859055,0.8454666535059611,0.8195333282152811,0.8274666666984558
2018,Maryland,0.8178500235080719,,0.8685799956321716,0.8922333319981893,0.8953666885693868,0.8530799865722656,0.8792499899864197
2018,Massachusetts,0.8043000102043152,0.7698000073432922,0.7997999787330627,0.801149994134903,0.8092500120401382,0.7730666597684225,0.7763999899228414
2018,McNeese,,,0.6995999813079834,,,,0.7497000098228455
2018,Memphis,0.817300021648407,0.7822500169277191,0.7903000116348267,0.813700000445048,0.8438000082969666,0.8064500093460083,0.8241999745368958
2018,Mercer,0.805400013923645,0.7797999978065491,0.8206000129381815,0.7497000098228455,0.7820000052452087,,0.7597000002861023
2018,Miami,0.9613999724388123,0.9175000190734863,0.9368399977684021,0.8777500092983246,0.8910250067710876,,0.8915166755517324
2018,Miami (OH),0.8165000081062317,,0.7862750142812729,0.8154000043869019,0.8215000033378601,0.7597000002861023,0.7731333374977112
2018,Michigan,0.8391000032424927,0.8661500215530396,0.876033345858256,0.8605999946594238,0.8978000084559122,0.9480999708175659,0.8808600068092346
2018,Michigan State,0.8638000190258026,0.8639000058174133,0.8765666683514913,0.8683666586875916,0.8454249948263168,0.8622000018755595,0.8916750103235245
2018,Middle Tennessee,0.8129000067710876,,0.7953000068664551,0.7772000074386597,0.7630000114440918,,0.7897999882698059
2018,Minnesota,0.8355000019073486,0.8639000058174133,0.8544199824333191,0.865666667620341,0.843179988861084,0.8202000111341476,0.8555000027020773
2018,Mississippi State,0.891700029373169,0.857200026512146,0.8792833387851715,0.8712500035762787,0.8642999976873398,0.8518000245094299,0.8642750084400177
2018,Mississippi Valley State,,0.7953000068664551,,,,,
2018,Missouri,,0.8201999962329865,0.85903333624204,0.8347750008106232,0.8686999976634979,0.8594199895858765,0.8416333397229513
2018,Missouri State,,,,0.8299000263214111,0.7698000073432922,,
2018,Monmouth,,0.7797999978065491,,,,,
2018,Montana,,,0.7697499990463257,0.7597000002861023,,,0.814300000667572
2018,Montana State,0.839900016784668,0.799833337465922,0.7647500038146973,0.8198999762535095,0.7497000098228455,,0.8143333395322164
2018,Morehead State,,,,0.7580000162124634,,,
2018,Murray State,,0.7696999907493591,0.7631000280380249,,,,
